TrialType,Path,Correct,ms,s,ks,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,welcome.started,welcome.stopped,space.started,space.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Fixwarn.started,Fixwarn.stopped,table.started,table.stopped,key_resp__0.keys,key_resp__0.rt,key_resp__0.started,key_resp__0.stopped,type.started,type.stopped,space_3.started,space_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,stim_2.started,stim_2.stopped,text_2.started,text_2.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.started,key_resp_9.stopped,key_resp_9.rt,END.started,END.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
go,triangle.png,space,1320,1.32,1.82,0,40,40,54,,,,,,,,,,,,,,,,,,,,,,,,,114.25599679999868,114.7570293999961,114.7402832000007,116.05910569999833,space,1,114.25599679999868,114.25599679999868,0.35171120000450173,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1979,1.979,2.479,0,41,41,93,,,,,,,,,,,,,,,,,,,,,,,,,116.07527110000228,116.57597610000084,116.55956960000185,118.5468372999967,space,1,116.07527110000228,116.07527110000228,0.34849060000124155,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
nogo,square.png,None,1783,1.783,2.283,0,42,42,60,,,,,,,,,,,,,,,,,,,,,,,,,118.56244940000033,119.06300750000082,119.04639930000121,120.83323830000154,None,1,118.56244940000033,118.56244940000033,,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1962,1.962,2.462,0,43,43,74,,,,,,,,,,,,,,,,,,,,,,,,,120.85036630000104,121.35027360000095,121.33318970000255,123.30264129999705,space,1,120.85036630000104,120.85036630000104,0.3094674000021769,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1529,1.529,2.029,0,44,44,51,,,,,,,,,,,,,,,,,,,,,,,,,123.32048670000222,123.82077920000302,123.80428240000037,125.3390550999975,space,1,123.32048670000222,123.32048670000222,0.3271789999998873,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1180,1.18,1.68,0,45,45,81,,,,,,,,,,,,,,,,,,,,,,,,,125.35556519999955,125.85648670000228,125.84051819999877,127.02545180000016,space,1,125.35556519999955,125.35556519999955,0.3005585999999312,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1154,1.154,1.654,0,46,46,71,,,,,,,,,,,,,,,,,,,,,,,,,127.04158910000115,127.54217939999944,127.52545290000126,None,space,1,127.04158910000115,127.04158910000115,0.3100555000055465,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1233,1.233,1.733,0,47,47,46,,,,,,,,,,,,,,,,,,,,,,,,,128.69457449999754,129.19606919999933,129.17865029999666,130.41379020000022,space,1,128.69457449999754,128.69457449999754,0.24956550000206335,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1651,1.651,2.151,0,48,48,30,,,,,,,,,,,,,,,,,,,,,,,,,130.42985639999824,130.93073970000114,130.9148079000006,132.5664117999986,space,1,130.42985639999824,130.42985639999824,0.2500060000020312,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1918,1.918,2.418,0,49,49,3,,,,,,,,,,,,,,,,,,,,,,,,,132.58308599999873,133.08375630000228,133.067123599998,134.9886828000017,space,1,132.58308599999873,132.58308599999873,0.3050820999997086,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
